Name,text,Likes,Time,emotion,confidence
@TungQuang-u8m,"Qua 59.079M
Nay 59.205M
Tăng 126k so vs hqua (+18k)",0,2025-07-17T12:55:00Z,neutral,0.9128870964050293
@Xecaumiennam,nhạc thật chill,0,2025-07-17T09:48:43Z,positive,0.9933860898017883
@ThiênLêHoàng-o2f,"Cơn mưa rơi bất chợt dần tan
Để nhường cho ánh nắng nghiêng
Đoạn đường em bước đi ngang qua đây
Hửng nắng
Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh (em, em, em)
Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên
Cùng anh kể chuyện (chỉ cần có em hàn thuyên)
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu?
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên
Đạp xe bên hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay quên lời
Và đôi khi là những câu hỏi trên trời
Anh ơi, trẻ con chơi kìa, vui nhỉ?
Anh ơi, ở bên kia là hoa gì?
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh?
Sao nhìn ai cũng vội vã vậy?
Đôi khi anh nghĩ bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh chưa là em (chưa là em)
Cho đến khi anh thấy đôi mắt đen lay láy
Thầm nhìn anh một buổi sáng anh ngủ quên
Chưa ai bao giờ nói cho anh tình yêu là gì
Anh cứ ngỡ như những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm, đôi lúc khiến anh thầm nghĩ
Liệu không phải em? (Em, em, em)
Lòng tin là thứ anh không đặt cược
Nếu không phải em (em, em)
Bình yên là thứ anh không chạm được
Bởi vì cách em nhìn và cảm giác em hôn
Hơn tất cả những gì anh có thể định nghĩa
Anh cảm ơn nỗi đau đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây
Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
(Em, em, em)
Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên (chỉ cần em, chỉ cần em)
Cùng anh kể chuyện (chỉ cần có em hàn huyên)
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu? (Tìm ở đâu?)
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên",0,2025-07-17T08:57:28Z,negative,0.947050929069519
@TungNguyen-ChadChampion,"Ngày 95 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-17T03:56:01Z,positive,0.9057060480117798
@Nguyentrungkiendzs1tg,"cái cảm giác chỉ có nhạc của Vũ đem lại cho bản thân mình, cảm giác lạ thật",0,2025-07-16T16:38:22Z,positive,0.990192174911499
@TungQuang-u8m,"Qua 58.971M
Nay 59.079M
Tăng 108k so vs hqua (+9k)",0,2025-07-16T13:15:03Z,neutral,0.904144823551178
@NghiaTran-n2v,"Là người con sinh ra trong một gia đình lao động chân tay, mưu sinh ở thành phố Hà Nội đầy bộn bề, càng lớn mình càng thấy áp lực phải chăm lo cho người khác mà nhiều khi quên mất bản thân mình",0,2025-07-16T10:21:51Z,negative,0.9207577109336853
@TungNguyen-ChadChampion,"Ngày 94 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 59 triệu lượt xem!!!",0,2025-07-16T01:01:46Z,positive,0.9350736141204834
@TungQuang-u8m,"Qua 58.872M
Nay 58.971M
Tăng 99k so vs hqua (-7k)
Tăng 896k so vs tuần trc (+49k)",0,2025-07-15T13:14:31Z,neutral,0.8999205231666565
@TungNguyen-ChadChampion,"Ngày 93 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-15T01:17:06Z,positive,0.8370355367660522
@Muoi131Tranthi,rap love binz vẫn đỉnh quá,0,2025-07-14T15:28:50Z,positive,0.9840297698974609
@TungQuang-u8m,"Nay 58.872M
Tăng 106k so vs hqua (-18k)",0,2025-07-14T12:52:44Z,neutral,0.9287075996398926
@GabrielZz007,I don't know the meaning of the song But I heard this song from an e-sports competitor. Post via social media And I really like this song. It's from Thailand💞,1,2025-07-14T11:00:01Z,positive,0.7793384194374084
@ThunganTran-m6h,Lời bài hát rất hay!!,1,2025-07-14T09:32:19Z,positive,0.9981788396835327
@ThunganTran-m6h,"14/7/2025
Ai còn nghe lại không?",1,2025-07-14T09:31:37Z,negative,0.9547696709632874
@ThunganTran-m6h,Hay quá anh ơi!!!,1,2025-07-14T09:30:52Z,positive,0.9685226678848267
@TungNguyen-ChadChampion,"Ngày 92 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-14T01:55:10Z,positive,0.7956191897392273
@TungQuang-u8m,"Nay 58.766M
Tăng 124k so vs hqua (-22k)",0,2025-07-13T12:54:18Z,neutral,0.9285199046134949
@TrangNguyen-tf6mv,"Lyric:
Cơn mưa rơi bất chợt dần tan
Để nhường cho ánh nắng nghiêng
Đoạn đường em bước đi ngang qua đây
Hửng nắng

Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh (em, em, em)

Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên
Cùng anh kể chuyện (chỉ cần có em hàn thuyên)

Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu?
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên

Đạp xe bên hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay quên lời
Và đôi khi là những câu hỏi trên trời

Anh ơi, trẻ con chơi kìa, vui nhỉ?
Anh ơi, ở bên kia là hoa gì?
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh?
Sao nhìn ai cũng vội vã vậy?

Đôi khi anh nghĩ bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh chưa là em (chưa là em)
Cho đến khi anh thấy đôi mắt đen lay láy
Thầm nhìn anh một buổi sáng anh ngủ quên

Chưa ai bao giờ nói cho anh tình yêu là gì
Anh cứ ngỡ như những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm, đôi lúc khiến anh thầm nghĩ

Liệu không phải em? (Em, em, em)
Lòng tin là thứ anh không đặt cược
Nếu không phải em (em, em)
Bình yên là thứ anh không chạm được

Bởi vì cách em nhìn và cảm giác em hôn
Hơn tất cả những gì anh có thể định nghĩa
Anh cảm ơn nỗi đau đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây

Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
(Em, em, em)

Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên (chỉ cần em, chỉ cần em)
Cùng anh kể chuyện (chỉ cần có em hàn huyên)

Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu? (Tìm ở đâu?)
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên",0,2025-07-13T12:44:08Z,negative,0.9532495141029358
@MrKent74,"Cuộc sống này, đôi khi chỉ cần 1 khoảng lặng, chỉ cần 1 giây phút thoáng qua để biết được “bình yên”…cám ơn Vũ và Binz đã có 1 tác phẩm xuất sắc xoa dịu những tâm hôn đang hối hả ở ngoài kia…😊",0,2025-07-13T10:28:20Z,negative,0.7999140024185181
@TungNguyen-ChadChampion,"Ngày 91 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-13T06:20:07Z,positive,0.8806650042533875
@LinhBảo-b6o,0:18,0,2025-07-12T13:12:10Z,neutral,0.8967493772506714
@TungQuang-u8m,"Nay 58.642M
Tăng 146k so vs hqua (+12k)",0,2025-07-12T12:58:08Z,neutral,0.9111775755882263
@huyền_vsbet145chấmcom,Có một vẻ đẹp rất riêng trong sự buồn bã của giai điệu này – mong manh nhưng đầy cảm xúc.,0,2025-07-12T08:43:38Z,positive,0.9879282116889954
@chunghoang9574,MV có màu sắc của HongKong 198x rất đẹp và lãng mạn,0,2025-07-12T07:58:11Z,positive,0.9972973465919495
@ngannguyenthibich1684,Bo kìa,0,2025-07-12T07:25:20Z,neutral,0.91275954246521
@ngatran_vsbet,Nghe bài này mà cảm giác như đang lạc vào một không gian thần tiên.,0,2025-07-12T04:45:13Z,positive,0.801792323589325
@LinhBảo-b6o,00:18,1,2025-07-12T03:04:21Z,neutral,0.8682137131690979
@TungNguyen-ChadChampion,"Ngày 90 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-12T01:29:29Z,positive,0.9259815812110901
@NđKhoa7594,Giai điệu bài hát nhẹ nhàng Tôi cảm thấy binh yên khi nghe xong ca khúc này,0,2025-07-12T01:28:27Z,positive,0.9828655123710632
@TungQuang-u8m,"Nay 58.496M
Tăng 134k so vs hqua (-5k)",0,2025-07-11T12:57:58Z,neutral,0.9282708168029785
@TungNguyen-ChadChampion,"Ngày 89 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-11T02:18:18Z,positive,0.9248035550117493
@NguyễnDuyAnh-q3s,"26 tuổi , không biết bình yên của mình là gì ...",0,2025-07-10T23:58:13Z,negative,0.9909937977790833
@TungQuang-u8m,"Nay 58.362M
Tăng 139k so vs hqua (-9k)",0,2025-07-10T12:58:10Z,neutral,0.927253782749176
@TungNguyen-ChadChampion,"Ngày 88 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-10T04:06:05Z,positive,0.8929306864738464
@Lethithu991,tình quá,0,2025-07-09T18:09:36Z,positive,0.9952524900436401
@ToảnHoàngVănToản-u1y,thời đại cái gì cũng nhanh bình yên là 1 thứ gì đó xa vời,0,2025-07-09T17:32:47Z,negative,0.9936943650245667
@vunham1599,Mình thích nhạc của Vũ. Mv của b cũng nhẹ nhàng gần gũi,0,2025-07-09T16:29:17Z,positive,0.9961234927177429
@huongly_vsbet,"Giọng hát của bạn như một phép màu, chạm đến mọi giác quan.",0,2025-07-09T16:21:40Z,positive,0.9922631978988647
@yêulắmý,mỗi một khoảnh khắc là một dấu ấn giản dị khó quên,0,2025-07-09T14:01:02Z,positive,0.9415199160575867
@TungQuang-u8m,"Nay 58.223M
Tăng 148k so vs hqua",0,2025-07-09T13:09:24Z,neutral,0.8876822590827942
@TungNguyen-ChadChampion,"Ngày 87 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-09T01:27:59Z,positive,0.9238914251327515
@TungQuang-k4w,"Tuần trc 57.228tr
Tuần này 58.075tr
Tăng 847k so vs tuần trc (-20k)",2,2025-07-08T12:54:48Z,neutral,0.6823641061782837
@Chupachups_vsbet,"Nhạc như này nhẹ nhàng nhưng đầy nội lực,nghe riết ghiền lunn",1,2025-07-08T12:36:59Z,positive,0.9962077140808105
@DuongAnh-iu4ww,2025 ai vẫn nghe like đi,2,2025-07-08T10:59:06Z,negative,0.9364012479782104
@TungNguyen-ChadChampion,"Ngày 86 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 58 triệu lượt xem!!!",1,2025-07-08T07:45:19Z,positive,0.9402488470077515
@14canhchua_vsbet142chấmcom,"Phần điệp khúc mang màu sắc rất riêng, quá hợp gu âm nhạc của mình.",1,2025-07-08T05:54:00Z,positive,0.9968618154525757
@Hehe_vsbet,Bài hát như một nơi trú nhỏ giữa những ngày lòng mình nhiều mây.,0,2025-07-07T14:13:05Z,positive,0.8978239297866821
@TungQuang-u8m,"Nay 57.957M
Tăng 109k so vs hqua (-3k)",0,2025-07-07T12:58:48Z,neutral,0.950017511844635
@thanhtruc_vsbet,"Ca từ của bài hát rất ý nghĩa và sâu sắc, chạm đến trái tim người nghe.",0,2025-07-07T10:04:35Z,positive,0.9978852868080139
@TungNguyen-ChadChampion,"Ngày 85 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-07T07:03:59Z,positive,0.8703218102455139
@honnguyenhoang,🎉🎉🎉🎉,0,2025-07-07T04:19:10Z,neutral,0.8481801152229309
@quannguyenhuu4938,Yêu nhạc của vũ,0,2025-07-07T00:14:59Z,positive,0.9757277965545654
@TungQuang-u8m,"Nay 57.848M
Tăng 112k so vs hqua",0,2025-07-06T13:05:59Z,neutral,0.9319195747375488
@haophamvan-ip7zm,Rap cho Jack😂,0,2025-07-06T11:00:11Z,neutral,0.9345857501029968
@kyominotv122,:)) có bạn thật vui,0,2025-07-06T09:31:00Z,positive,0.9922784566879272
@danh7551,Thật sự là bình yên thật á chứ,0,2025-07-06T07:48:34Z,neutral,0.6135902404785156
@TungNguyen-ChadChampion,"Ngày 84 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-06T06:15:30Z,positive,0.8635004162788391
@khoanguyen9281,hay quá,0,2025-07-05T21:50:47Z,positive,0.9973719120025635
@TungNguyen-ChadChampion,"Ngày 83 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-05T13:05:23Z,positive,0.8777157068252563
@TungQuang-u8m,5/7 : 57.736M,0,2025-07-05T12:57:19Z,neutral,0.8969836235046387
@Senumar-s8v,2:06 - 2:23,0,2025-07-05T06:10:15Z,neutral,0.8924771547317505
@8comga_vsbet142chấmcom,"Phong cách thể hiện khiến người nghe muốn replay mãi, tạo cảm hứng mỗi ngày.",0,2025-07-05T04:17:28Z,positive,0.9955466985702515
@58carot_vsbet142chấmcom,Nhạc nền nhẹ nhàng. Tập hát rất hiệu quả.,0,2025-07-04T12:33:07Z,positive,0.9981021285057068
@45mochi_vsbet142chấmcom,"Phong cách thể hiện mang năng lượng tích cực, chạm đến từng cung bậc cảm xúc.",0,2025-07-04T11:10:35Z,positive,0.9904796481132507
@TungNguyen-ChadChampion,"Ngày 82 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-04T10:31:35Z,positive,0.9242399334907532
@tiennguyen-n9e,"Mình nhớ trong video unbox nút kim cương, anh ấy nói tạm nghỉ để xây dựng lại đội ngũ sản xuất video và xây dựng studio riêng để quay",0,2025-07-03T13:59:17Z,negative,0.9433788657188416
@12banhgao_vsbet142chấmcom,"Cách phối khí mang năng lượng tích cực, chạm đến từng cung bậc cảm xúc.",0,2025-07-03T04:16:47Z,positive,0.9971576929092407
@TungNguyen-ChadChampion,"Ngày 81 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-03T01:39:21Z,positive,0.9150181412696838
@mochi_vsbet106chấmcom,Gặp bài này lúc đang chán nản là đúng thời điểm.,0,2025-07-02T16:05:15Z,positive,0.9501409530639648
@TungNguyen-ChadChampion,"Ngày 80 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-02T01:01:50Z,positive,0.9184592366218567
@LocTruong-u6s,"Có một người gọi là ""bình yên""",0,2025-07-01T12:48:59Z,positive,0.6327493190765381
@TungNguyen-ChadChampion,"Ngày 79 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-01T08:26:59Z,positive,0.9643132090568542
@G2wlls,Fakailoatoga est passé par ici,0,2025-06-30T13:32:10Z,neutral,0.5434006452560425
@TungNguyen-ChadChampion,"Ngày 78 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 57 triệu lượt xem!!!",0,2025-06-29T23:18:43Z,positive,0.9548184275627136
@VuNguyen-yq1ck,"Lời bài hát Bình Yên – Vũ., Binz
Em như dòng nước trong veo
Băng qua ngọn núi vòng vèo
Chỉ cần có em hàn huyên
Cùng anh kể chuyện
Cơn mưa rơi bất chợt dần tan
Để nhường cho ánh nắng nghiêng
Đoạn đường em bước đi ngang qua đây
Hửng nắng
Khi hai ta gần lại một chút
Hai dòng sông
Chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
Em như dòng nước trong veo
Xoá hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên
Cùng anh kể chuyện
Chỉ cần có em
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu tìm ở đâu
Giữa thế giới bao la
Giữ lấy trong tầm tay
Để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên
Đạp xe bên hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay quên lời
Và đôi khi là những câu hỏi trên trời
Anh ơi trẻ con chơi kìa vui nhỉ
Anh ơi ở bên kia là hoa gì
Ơ hay tại sao chim được bay
Tại sao cây màu xanh
Sao nhìn ai cũng vội vã vậy
Đôi khi anh nghĩ bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh chưa là em
Cho đến khi anh thấy
Đôi mắt đen lay láy
Thầm nhìn anh
Một buổi sáng anh ngủ quên
Chưa ai bao giờ nói cho anh
Tình yêu là gì
Anh cứ ngỡ như những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm
Đôi lúc khiến anh thầm nghĩ
Liệu không phải em
Lòng tin là thứ anh không đặt cược
Nếu không phải em
Bình yên là thứ anh không chạm được
Bởi vì cách em nhìn
Và cảm giác em hôn
Hơn tất cả những gì
Anh có thể định nghĩa
Anh cảm ơn nỗi đau
Đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây
Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
Em như dòng nước trong veo
Xoá hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành
Chỉ cần có em hàn huyên
Cùng anh kể chuyện
Chỉ cần có em
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu tìm ở đâu
Giữa thế giới bao la
Giữ lấy trong tầm tay
Để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên",0,2025-06-29T06:06:24Z,negative,0.9342476725578308
@TungNguyen-ChadChampion,"Ngày 77 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-29T05:41:51Z,positive,0.8801375031471252
@christinofreestyle210,cả 2 đều tạo ra những ver để đời thật sự,0,2025-06-28T16:48:13Z,positive,0.9946681261062622
@TungNguyen-ChadChampion,"Ngày 76 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-28T02:46:49Z,positive,0.9269773960113525
@NhàYênBái_vsbet,Mv hay và oke,0,2025-06-27T18:23:38Z,positive,0.9982054233551025
@Nhiyen-ily8,Mv hay chất lượng,0,2025-06-27T14:50:13Z,positive,0.9953561425209045
@TungNguyen-ChadChampion,"Ngày 75 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-27T00:52:01Z,positive,0.826221764087677
@TungNguyen-ChadChampion,"Ngày 74 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-26T01:18:53Z,positive,0.9195008277893066
@ucluannguyen7144,2:49,0,2025-06-25T14:19:26Z,neutral,0.8354529738426208
@ucluannguyen7144,Ok,0,2025-06-25T14:18:58Z,neutral,0.9062079787254333
@HieuMinh-bz6dq,nhạc này chill dễ sợ,0,2025-06-25T04:36:26Z,negative,0.993044912815094
@TungNguyen-ChadChampion,"Ngày 73 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-25T01:56:44Z,positive,0.9488587975502014
@TungNguyen-ChadChampion,"Ngày 72 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-24T01:38:02Z,positive,0.8921462893486023
@TungNguyen-ChadChampion,"Ngày 71 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-23T01:45:13Z,positive,0.9271683692932129
@Ebe_BWuynn,"Mình nghe bài này từ khi thích một người, rồi mập mờ, rồi kết thúc, rồi không còn nói chuyện với nhau nữa. Đến tận bây giờ vẫn nghe bài này với một tâm hồn thoải mái nhất, có lẽ cả 2 mình đều cần bình yên nhưng lại không phải là đối phương ` mà mình thật sự phù hợp, vậy nên chúng mình giải thoát cho nhau và buông tha cho mọi lỗi lầm. Nhạc của chú Vũ vẫn là cái gì đó quá xoa dịu người khác đi, và vẫn mong bản thân tiếp tục bước tiếp và sớm tìm được bình yên đời mình hơn hihi",0,2025-06-22T16:56:45Z,negative,0.9848780035972595
@TungNguyen-ChadChampion,"Ngày 70 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 56 triệu lượt xem!!!",0,2025-06-22T01:06:00Z,positive,0.9535878896713257
@johncena-c1o3p,If you,0,2025-06-21T23:27:36Z,positive,0.9389029741287231
@TungNguyen-ChadChampion,"Ngày 69 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-21T02:17:03Z,positive,0.8532423973083496
@TungNguyen-ChadChampion,"Ngày 68 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-19T23:30:23Z,positive,0.9116007089614868
@TungNguyen-ChadChampion,"Ngày 67 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-19T02:02:15Z,positive,0.8946020007133484
@quangsi7779,"1:20
Đạp xe bên hoàng hôn
Và em luôn ngồi sau  
Tay ôm bụng anh 
Vu vơ bài ca, em hay quên lời
Và đôi khi là những câu hỏi trên trời 
Anh ơi trẻ con chơi kìa, vui nhỉ
Anh ơi ở bên kia là hoa gì? 
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh? 
Sao nhìn ai cũng vội vã vậy 
Đôi khi anh nghĩ, bình yên thật xa xỉ có lẽ lúc đó bên cạnh chưa là em 
Cho đến khi anh thấy, đôi mắt đen lay láy thầm nhìn anh một buổi sáng anh ngủ quên 
Chưa ai bao giờ nói cho anh tình yêu là gì 
Anh cứ ngỡ là những cơn sóng ầm ĩ ..
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như như màn đêm
Đôi lúc khiến anh thầm nghĩ
Liệu không phải em, lòng tin là thứ anh không đặt cược 
Nếu không phải em, bình yên là thứ anh không chạm được 
Bởi vì cách em nhìn, và cảm giác em hôn 
Hơn tất cả những gì anh có thể định nghĩa
Anh cám ơn nỗi đau, đã cho em đến sau 
Vì mọi điều anh tìm kiếm là đây",0,2025-06-18T13:18:37Z,negative,0.9920416474342346
@TungNguyen-ChadChampion,"Ngày 66 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-18T05:49:31Z,positive,0.9127967953681946
@hoangquynh4512,"thực sự mỗi lần áp lực lại nghe bài này, cảm giác như bình ổn giữa cuộc sống đầy biến động và một tương lai vô định hình.",0,2025-06-17T16:49:15Z,positive,0.8874867558479309
@TungNguyen-ChadChampion,"Ngày 65 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-16T23:18:12Z,positive,0.8887026906013489
@giahuynguyen1537,hay quá ạaaa,0,2025-06-16T17:10:49Z,positive,0.9957876801490784
@HàAnhĐặng-v1f,Hay nha Nicky ơi,0,2025-06-16T13:55:23Z,positive,0.9759297370910645
@Chauanhltd,Tôi nghe MV khi đang ở Đà lạt với vợ....amazing. Thật bình yên,0,2025-06-16T12:24:31Z,positive,0.9513898491859436
@TungNguyen-ChadChampion,"Ngày 64 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-15T23:23:00Z,positive,0.9152207970619202
@binhnguyen7343,Mn ơi xe trong mv là xe jv,1,2025-06-15T16:20:48Z,neutral,0.9807447791099548
@TungNguyen-ChadChampion,"Ngày 63 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-15T00:55:31Z,positive,0.9279359579086304
@TungNguyen-ChadChampion,"Ngày 62 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-14T00:28:37Z,positive,0.9234917163848877
@TungNguyen-ChadChampion,"Ngày 61 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 55 triệu lượt xem!!!",2,2025-06-13T01:21:11Z,positive,0.9493855237960815
@39.letuan80,1:18,0,2025-06-12T06:54:53Z,neutral,0.8094773888587952
@TungNguyen-ChadChampion,"Ngày 60 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-12T05:06:25Z,positive,0.8735188841819763
@johncena-c1o3p,Sắc,0,2025-06-11T14:26:04Z,neutral,0.9655563831329346
@SâmĐặngThị-h1t,Hay quá❤,0,2025-06-11T05:54:01Z,positive,0.9971502423286438
@PhanThịNgọcTú,❤❤,0,2025-06-11T05:34:21Z,neutral,0.8148894309997559
@LuongNam-k8u,❤hay,0,2025-06-11T02:47:29Z,positive,0.977206826210022
@TungNguyen-ChadChampion,"Ngày 59 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-11T02:25:58Z,positive,0.9047883749008179
@TungNguyen-ChadChampion,"Ngày 58 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-10T02:52:41Z,positive,0.8775004744529724
@BaoChauNguyenHa1902,Có ai vào xem để tặng quà sn cho Duy hong?🥰,0,2025-06-09T17:25:49Z,neutral,0.8043588995933533
@thuph80,Nghe hoài khum thấy chán á🥹😍,0,2025-06-09T10:53:50Z,negative,0.9770283102989197
@TungNguyen-ChadChampion,"Ngày 57 nghe bài hát ""bình yên"" trong 1 năm",2,2025-06-09T00:41:18Z,positive,0.9349105358123779
@thcofficial4375,Ver anh Binz chịu luôn quá ảoooo ❤❤❤,0,2025-06-08T20:37:59Z,positive,0.9963021278381348
