Name,text,Likes,Time
@ThiênLêHoàng-o2f,"Cơn mưa rơi bất chợt dần tan
Để nhường cho ánh nắng nghiêng
Đoạn đường em bước đi ngang qua đây
Hửng nắng
Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh (em, em, em)
Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên
Cùng anh kể chuyện (chỉ cần có em hàn thuyên)
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu?
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên
Đạp xe bên hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay quên lời
Và đôi khi là những câu hỏi trên trời
Anh ơi, trẻ con chơi kìa, vui nhỉ?
Anh ơi, ở bên kia là hoa gì?
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh?
Sao nhìn ai cũng vội vã vậy?
Đôi khi anh nghĩ bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh chưa là em (chưa là em)
Cho đến khi anh thấy đôi mắt đen lay láy
Thầm nhìn anh một buổi sáng anh ngủ quên
Chưa ai bao giờ nói cho anh tình yêu là gì
Anh cứ ngỡ như những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm, đôi lúc khiến anh thầm nghĩ
Liệu không phải em? (Em, em, em)
Lòng tin là thứ anh không đặt cược
Nếu không phải em (em, em)
Bình yên là thứ anh không chạm được
Bởi vì cách em nhìn và cảm giác em hôn
Hơn tất cả những gì anh có thể định nghĩa
Anh cảm ơn nỗi đau đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây
Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
(Em, em, em)
Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên (chỉ cần em, chỉ cần em)
Cùng anh kể chuyện (chỉ cần có em hàn huyên)
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu? (Tìm ở đâu?)
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên",0,2025-07-17T08:57:28Z
@TungNguyen-ChadChampion,"Ngày 95 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-17T03:56:01Z
@Nguyentrungkiendzs1tg,"cái cảm giác chỉ có nhạc của Vũ đem lại cho bản thân mình, cảm giác lạ thật",0,2025-07-16T16:38:22Z
@TungQuang-u8m,"Qua 58.971M
Nay 59.079M
Tăng 108k so vs hqua (+9k)",0,2025-07-16T13:15:03Z
@NghiaTran-n2v,"Là người con sinh ra trong một gia đình lao động chân tay, mưu sinh ở thành phố Hà Nội đầy bộn bề, càng lớn mình càng thấy áp lực phải chăm lo cho người khác mà nhiều khi quên mất bản thân mình",0,2025-07-16T10:21:51Z
@TungNguyen-ChadChampion,"Ngày 94 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 59 triệu lượt xem!!!",0,2025-07-16T01:01:46Z
@TungQuang-u8m,"Qua 58.872M
Nay 58.971M
Tăng 99k so vs hqua (-7k)
Tăng 896k so vs tuần trc (+49k)",0,2025-07-15T13:14:31Z
@TungNguyen-ChadChampion,"Ngày 93 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-15T01:17:06Z
@Muoi131Tranthi,rap love binz vẫn đỉnh quá,0,2025-07-14T15:28:50Z
@TungQuang-u8m,"Nay 58.872M
Tăng 106k so vs hqua (-18k)",0,2025-07-14T12:52:44Z
@GabrielZz007,I don't know the meaning of the song But I heard this song from an e-sports competitor. Post via social media And I really like this song. It's from Thailand💞,1,2025-07-14T11:00:01Z
@ThunganTran-m6h,Lời bài hát rất hay!!,1,2025-07-14T09:32:19Z
@ThunganTran-m6h,"14/7/2025
Ai còn nghe lại không?",1,2025-07-14T09:31:37Z
@ThunganTran-m6h,Hay quá anh ơi!!!,1,2025-07-14T09:30:52Z
@TungNguyen-ChadChampion,"Ngày 92 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-14T01:55:10Z
@TungQuang-u8m,"Nay 58.766M
Tăng 124k so vs hqua (-22k)",0,2025-07-13T12:54:18Z
@TrangNguyen-tf6mv,"Lyric:
Cơn mưa rơi bất chợt dần tan
Để nhường cho ánh nắng nghiêng
Đoạn đường em bước đi ngang qua đây
Hửng nắng

Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh (em, em, em)

Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên
Cùng anh kể chuyện (chỉ cần có em hàn thuyên)

Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu?
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên

Đạp xe bên hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay quên lời
Và đôi khi là những câu hỏi trên trời

Anh ơi, trẻ con chơi kìa, vui nhỉ?
Anh ơi, ở bên kia là hoa gì?
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh?
Sao nhìn ai cũng vội vã vậy?

Đôi khi anh nghĩ bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh chưa là em (chưa là em)
Cho đến khi anh thấy đôi mắt đen lay láy
Thầm nhìn anh một buổi sáng anh ngủ quên

Chưa ai bao giờ nói cho anh tình yêu là gì
Anh cứ ngỡ như những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm, đôi lúc khiến anh thầm nghĩ

Liệu không phải em? (Em, em, em)
Lòng tin là thứ anh không đặt cược
Nếu không phải em (em, em)
Bình yên là thứ anh không chạm được

Bởi vì cách em nhìn và cảm giác em hôn
Hơn tất cả những gì anh có thể định nghĩa
Anh cảm ơn nỗi đau đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây

Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
(Em, em, em)

Em như dòng nước trong veo
Xóa hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên (chỉ cần em, chỉ cần em)
Cùng anh kể chuyện (chỉ cần có em hàn huyên)

Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu? Tìm ở đâu? (Tìm ở đâu?)
Giữa thế giới bao la
Giữ lấy trong tầm tay để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên",0,2025-07-13T12:44:08Z
@MrKent74,"Cuộc sống này, đôi khi chỉ cần 1 khoảng lặng, chỉ cần 1 giây phút thoáng qua để biết được “bình yên”…cám ơn Vũ và Binz đã có 1 tác phẩm xuất sắc xoa dịu những tâm hôn đang hối hả ở ngoài kia…😊",0,2025-07-13T10:28:20Z
@TungNguyen-ChadChampion,"Ngày 91 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-13T06:20:07Z
@LinhBảo-b6o,0:18,0,2025-07-12T13:12:10Z
@TungQuang-u8m,"Nay 58.642M
Tăng 146k so vs hqua (+12k)",0,2025-07-12T12:58:08Z
@huyền_vsbet145chấmcom,Có một vẻ đẹp rất riêng trong sự buồn bã của giai điệu này – mong manh nhưng đầy cảm xúc.,0,2025-07-12T08:43:38Z
@chunghoang9574,MV có màu sắc của HongKong 198x rất đẹp và lãng mạn,0,2025-07-12T07:58:11Z
@ngannguyenthibich1684,Bo kìa,0,2025-07-12T07:25:20Z
@ngatran_vsbet,Nghe bài này mà cảm giác như đang lạc vào một không gian thần tiên.,0,2025-07-12T04:45:13Z
@LinhBảo-b6o,00:18,1,2025-07-12T03:04:21Z
@TungNguyen-ChadChampion,"Ngày 90 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-12T01:29:29Z
@NđKhoa7594,Giai điệu bài hát nhẹ nhàng Tôi cảm thấy binh yên khi nghe xong ca khúc này,0,2025-07-12T01:28:27Z
@TungQuang-u8m,"Nay 58.496M
Tăng 134k so vs hqua (-5k)",0,2025-07-11T12:57:58Z
@TungNguyen-ChadChampion,"Ngày 89 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-11T02:18:18Z
@NguyễnDuyAnh-q3s,"26 tuổi , không biết bình yên của mình là gì ...",0,2025-07-10T23:58:13Z
@TungQuang-u8m,"Nay 58.362M
Tăng 139k so vs hqua (-9k)",0,2025-07-10T12:58:10Z
@TungNguyen-ChadChampion,"Ngày 88 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-10T04:06:05Z
@Lethithu991,tình quá,0,2025-07-09T18:09:36Z
@ToảnHoàngVănToản-u1y,thời đại cái gì cũng nhanh bình yên là 1 thứ gì đó xa vời,0,2025-07-09T17:32:47Z
@vunham1599,Mình thích nhạc của Vũ. Mv của b cũng nhẹ nhàng gần gũi,0,2025-07-09T16:29:17Z
@huongly_vsbet,"Giọng hát của bạn như một phép màu, chạm đến mọi giác quan.",0,2025-07-09T16:21:40Z
@yêulắmý,mỗi một khoảnh khắc là một dấu ấn giản dị khó quên,0,2025-07-09T14:01:02Z
@TungQuang-u8m,"Nay 58.223M
Tăng 148k so vs hqua",0,2025-07-09T13:09:24Z
@TungNguyen-ChadChampion,"Ngày 87 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-09T01:27:59Z
@TungQuang-k4w,"Tuần trc 57.228tr
Tuần này 58.075tr
Tăng 847k so vs tuần trc (-20k)",2,2025-07-08T12:54:48Z
@Chupachups_vsbet,"Nhạc như này nhẹ nhàng nhưng đầy nội lực,nghe riết ghiền lunn",1,2025-07-08T12:36:59Z
@DuongAnh-iu4ww,2025 ai vẫn nghe like đi,2,2025-07-08T10:59:06Z
@TungNguyen-ChadChampion,"Ngày 86 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 58 triệu lượt xem!!!",1,2025-07-08T07:45:19Z
@14canhchua_vsbet142chấmcom,"Phần điệp khúc mang màu sắc rất riêng, quá hợp gu âm nhạc của mình.",1,2025-07-08T05:54:00Z
@Hehe_vsbet,Bài hát như một nơi trú nhỏ giữa những ngày lòng mình nhiều mây.,0,2025-07-07T14:13:05Z
@TungQuang-u8m,"Nay 57.957M
Tăng 109k so vs hqua (-3k)",0,2025-07-07T12:58:48Z
@thanhtruc_vsbet,"Ca từ của bài hát rất ý nghĩa và sâu sắc, chạm đến trái tim người nghe.",0,2025-07-07T10:04:35Z
@TungNguyen-ChadChampion,"Ngày 85 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-07T07:03:59Z
@honnguyenhoang,🎉🎉🎉🎉,0,2025-07-07T04:19:10Z
@quannguyenhuu4938,Yêu nhạc của vũ,0,2025-07-07T00:14:59Z
@TungQuang-u8m,"Nay 57.848M
Tăng 112k so vs hqua",0,2025-07-06T13:05:59Z
@haophamvan-ip7zm,Rap cho Jack😂,0,2025-07-06T11:00:11Z
@kyominotv122,:)) có bạn thật vui,0,2025-07-06T09:31:00Z
@danh7551,Thật sự là bình yên thật á chứ,0,2025-07-06T07:48:34Z
@TungNguyen-ChadChampion,"Ngày 84 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-06T06:15:30Z
@khoanguyen9281,hay quá,0,2025-07-05T21:50:47Z
@TungNguyen-ChadChampion,"Ngày 83 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-05T13:05:23Z
@TungQuang-u8m,5/7 : 57.736M,0,2025-07-05T12:57:19Z
@Senumar-s8v,2:06 - 2:23,0,2025-07-05T06:10:15Z
@8comga_vsbet142chấmcom,"Phong cách thể hiện khiến người nghe muốn replay mãi, tạo cảm hứng mỗi ngày.",0,2025-07-05T04:17:28Z
@58carot_vsbet142chấmcom,Nhạc nền nhẹ nhàng. Tập hát rất hiệu quả.,0,2025-07-04T12:33:07Z
@45mochi_vsbet142chấmcom,"Phong cách thể hiện mang năng lượng tích cực, chạm đến từng cung bậc cảm xúc.",0,2025-07-04T11:10:35Z
@TungNguyen-ChadChampion,"Ngày 82 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-04T10:31:35Z
@tiennguyen-n9e,"Mình nhớ trong video unbox nút kim cương, anh ấy nói tạm nghỉ để xây dựng lại đội ngũ sản xuất video và xây dựng studio riêng để quay",0,2025-07-03T13:59:17Z
@12banhgao_vsbet142chấmcom,"Cách phối khí mang năng lượng tích cực, chạm đến từng cung bậc cảm xúc.",0,2025-07-03T04:16:47Z
@TungNguyen-ChadChampion,"Ngày 81 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-03T01:39:21Z
@mochi_vsbet106chấmcom,Gặp bài này lúc đang chán nản là đúng thời điểm.,0,2025-07-02T16:05:15Z
@TungNguyen-ChadChampion,"Ngày 80 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-02T01:01:50Z
@LocTruong-u6s,"Có một người gọi là ""bình yên""",0,2025-07-01T12:48:59Z
@TungNguyen-ChadChampion,"Ngày 79 nghe bài hát ""bình yên"" trong 1 năm",0,2025-07-01T08:26:59Z
@G2wlls,Fakailoatoga est passé par ici,0,2025-06-30T13:32:10Z
@TungNguyen-ChadChampion,"Ngày 78 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 57 triệu lượt xem!!!",0,2025-06-29T23:18:43Z
@VuNguyen-yq1ck,"Lời bài hát Bình Yên – Vũ., Binz
Em như dòng nước trong veo
Băng qua ngọn núi vòng vèo
Chỉ cần có em hàn huyên
Cùng anh kể chuyện
Cơn mưa rơi bất chợt dần tan
Để nhường cho ánh nắng nghiêng
Đoạn đường em bước đi ngang qua đây
Hửng nắng
Khi hai ta gần lại một chút
Hai dòng sông
Chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
Em như dòng nước trong veo
Xoá hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành chỉ cần có em hàn huyên
Cùng anh kể chuyện
Chỉ cần có em
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu tìm ở đâu
Giữa thế giới bao la
Giữ lấy trong tầm tay
Để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên
Đạp xe bên hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay quên lời
Và đôi khi là những câu hỏi trên trời
Anh ơi trẻ con chơi kìa vui nhỉ
Anh ơi ở bên kia là hoa gì
Ơ hay tại sao chim được bay
Tại sao cây màu xanh
Sao nhìn ai cũng vội vã vậy
Đôi khi anh nghĩ bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh chưa là em
Cho đến khi anh thấy
Đôi mắt đen lay láy
Thầm nhìn anh
Một buổi sáng anh ngủ quên
Chưa ai bao giờ nói cho anh
Tình yêu là gì
Anh cứ ngỡ như những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm
Đôi lúc khiến anh thầm nghĩ
Liệu không phải em
Lòng tin là thứ anh không đặt cược
Nếu không phải em
Bình yên là thứ anh không chạm được
Bởi vì cách em nhìn
Và cảm giác em hôn
Hơn tất cả những gì
Anh có thể định nghĩa
Anh cảm ơn nỗi đau
Đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây
Khi hai ta gần lại một chút
Hai dòng sông chiếu sáng ánh trăng vàng
Ánh mắt thướt tha như có đôi lời
Với anh
Em như dòng nước trong veo
Xoá hết ưu phiền
Băng qua ngọn núi vòng vèo
Bạn đồng hành
Chỉ cần có em hàn huyên
Cùng anh kể chuyện
Chỉ cần có em
Anh tìm một thoáng bình yên
Vang lên trong đầu
Giờ đang ở đâu tìm ở đâu
Giữa thế giới bao la
Giữ lấy trong tầm tay
Để gió cuốn không thổi bay
Vì anh đã tìm thấy bình yên",0,2025-06-29T06:06:24Z
@TungNguyen-ChadChampion,"Ngày 77 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-29T05:41:51Z
@christinofreestyle210,cả 2 đều tạo ra những ver để đời thật sự,0,2025-06-28T16:48:13Z
@TungNguyen-ChadChampion,"Ngày 76 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-28T02:46:49Z
@NhàYênBái_vsbet,Mv hay và oke,0,2025-06-27T18:23:38Z
@Nhiyen-ily8,Mv hay chất lượng,0,2025-06-27T14:50:13Z
@TungNguyen-ChadChampion,"Ngày 75 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-27T00:52:01Z
@TungNguyen-ChadChampion,"Ngày 74 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-26T01:18:53Z
@ucluannguyen7144,2:49,0,2025-06-25T14:19:26Z
@ucluannguyen7144,Ok,0,2025-06-25T14:18:58Z
@HieuMinh-bz6dq,nhạc này chill dễ sợ,0,2025-06-25T04:36:26Z
@TungNguyen-ChadChampion,"Ngày 73 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-25T01:56:44Z
@TungNguyen-ChadChampion,"Ngày 72 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-24T01:38:02Z
@TungNguyen-ChadChampion,"Ngày 71 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-23T01:45:13Z
@Ebe_BWuynn,"Mình nghe bài này từ khi thích một người, rồi mập mờ, rồi kết thúc, rồi không còn nói chuyện với nhau nữa. Đến tận bây giờ vẫn nghe bài này với một tâm hồn thoải mái nhất, có lẽ cả 2 mình đều cần bình yên nhưng lại không phải là đối phương ` mà mình thật sự phù hợp, vậy nên chúng mình giải thoát cho nhau và buông tha cho mọi lỗi lầm. Nhạc của chú Vũ vẫn là cái gì đó quá xoa dịu người khác đi, và vẫn mong bản thân tiếp tục bước tiếp và sớm tìm được bình yên đời mình hơn hihi",0,2025-06-22T16:56:45Z
@TungNguyen-ChadChampion,"Ngày 70 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 56 triệu lượt xem!!!",0,2025-06-22T01:06:00Z
@johncena-c1o3p,If you,0,2025-06-21T23:27:36Z
@TungNguyen-ChadChampion,"Ngày 69 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-21T02:17:03Z
@TungNguyen-ChadChampion,"Ngày 68 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-19T23:30:23Z
@TungNguyen-ChadChampion,"Ngày 67 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-19T02:02:15Z
@quangsi7779,"1:20
Đạp xe bên hoàng hôn
Và em luôn ngồi sau  
Tay ôm bụng anh 
Vu vơ bài ca, em hay quên lời
Và đôi khi là những câu hỏi trên trời 
Anh ơi trẻ con chơi kìa, vui nhỉ
Anh ơi ở bên kia là hoa gì? 
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh? 
Sao nhìn ai cũng vội vã vậy 
Đôi khi anh nghĩ, bình yên thật xa xỉ có lẽ lúc đó bên cạnh chưa là em 
Cho đến khi anh thấy, đôi mắt đen lay láy thầm nhìn anh một buổi sáng anh ngủ quên 
Chưa ai bao giờ nói cho anh tình yêu là gì 
Anh cứ ngỡ là những cơn sóng ầm ĩ ..
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như như màn đêm
Đôi lúc khiến anh thầm nghĩ
Liệu không phải em, lòng tin là thứ anh không đặt cược 
Nếu không phải em, bình yên là thứ anh không chạm được 
Bởi vì cách em nhìn, và cảm giác em hôn 
Hơn tất cả những gì anh có thể định nghĩa
Anh cám ơn nỗi đau, đã cho em đến sau 
Vì mọi điều anh tìm kiếm là đây",0,2025-06-18T13:18:37Z
@TungNguyen-ChadChampion,"Ngày 66 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-18T05:49:31Z
@hoangquynh4512,"thực sự mỗi lần áp lực lại nghe bài này, cảm giác như bình ổn giữa cuộc sống đầy biến động và một tương lai vô định hình.",0,2025-06-17T16:49:15Z
@TungNguyen-ChadChampion,"Ngày 65 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-16T23:18:12Z
@giahuynguyen1537,hay quá ạaaa,0,2025-06-16T17:10:49Z
@HàAnhĐặng-v1f,Hay nha Nicky ơi,0,2025-06-16T13:55:23Z
@Chauanhltd,Tôi nghe MV khi đang ở Đà lạt với vợ....amazing. Thật bình yên,0,2025-06-16T12:24:31Z
@TungNguyen-ChadChampion,"Ngày 64 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-15T23:23:00Z
@binhnguyen7343,Mn ơi xe trong mv là xe jv,1,2025-06-15T16:20:48Z
@TungNguyen-ChadChampion,"Ngày 63 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-15T00:55:31Z
@TungNguyen-ChadChampion,"Ngày 62 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-14T00:28:37Z
@TungNguyen-ChadChampion,"Ngày 61 nghe bài hát ""bình yên"" trong 1 năm
Chúc mừng MV được 55 triệu lượt xem!!!",2,2025-06-13T01:21:11Z
@39.letuan80,1:18,0,2025-06-12T06:54:53Z
@TungNguyen-ChadChampion,"Ngày 60 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-12T05:06:25Z
@johncena-c1o3p,Sắc,0,2025-06-11T14:26:04Z
@SâmĐặngThị-h1t,Hay quá❤,0,2025-06-11T05:54:01Z
@PhanThịNgọcTú,❤❤,0,2025-06-11T05:34:21Z
@LuongNam-k8u,❤hay,0,2025-06-11T02:47:29Z
@TungNguyen-ChadChampion,"Ngày 59 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-11T02:25:58Z
@TungNguyen-ChadChampion,"Ngày 58 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-10T02:52:41Z
@BaoChauNguyenHa1902,Có ai vào xem để tặng quà sn cho Duy hong?🥰,0,2025-06-09T17:25:49Z
@thuph80,Nghe hoài khum thấy chán á🥹😍,0,2025-06-09T10:53:50Z
@TungNguyen-ChadChampion,"Ngày 57 nghe bài hát ""bình yên"" trong 1 năm",2,2025-06-09T00:41:18Z
@thcofficial4375,Ver anh Binz chịu luôn quá ảoooo ❤❤❤,0,2025-06-08T20:37:59Z
@oanhmai1909,"Giá như ngày đó em nghe dc bài hát này sớm hiểu đc tâm tư của một chàng trai mới lớn chưa sự nghiệp nhưng lại lỡ có một tình yêu đẹp và hồn nhiên nó khó khăn ntn, xin lỗi anh! Ngày ngày lo cho tương lai nhưng em cứ nghĩ anh đã có ai",0,2025-06-08T15:05:20Z
@TungNguyen-ChadChampion,"Ngày 56 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-08T02:33:37Z
@gltam1057,"Wow, I have very limited understanding of Tien Viet but the performance in this video nearly brings tears to my eyes 😢❤ !!!

Could someone translate the song for me?
  Thank you. ❤",1,2025-06-07T19:11:09Z
@TungNguyen-ChadChampion,"Ngày 55 nghe bài hát ""bình yên"" trong 1 năm",1,2025-06-07T00:54:30Z
@ThuAnh-bs3os,Chị “ Cẩm Tú Cầu “😘😘😘,0,2025-06-06T15:51:53Z
@ThuỷB-y7q,"giờ mình đang cảm thấy trống rỗng , nhiều chuyện khiến mình rất áp lực , sắp tới là thi thpt , mình tìm đến bài bài hát này mong muốn được xoa dịu 1 chút☺️",1,2025-06-06T14:10:01Z
@lowd7890,"Sau khi nghe bài này mình cũng nhận ra sự bình yên trong chính cuộc sống mình.Mỗi ngày đều vô lo vô nghĩ,vui chơi thoải mái,cùng lũ bạn trốn đi chơi net các thứ=))",0,2025-06-06T07:37:27Z
@TungNguyen-ChadChampion,"Ngày 54 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-06T01:08:47Z
@kew9217,"Đạp xe bên ... hoàng hôn
Và em luôn ngồi sau
Tay ôm bụng anh
Vu vơ bài ca em hay ... quên lời

Và đôi khi là những câu hỏi ... trên trời
Anh ơi, trẻ con chơi kìa ...  vui nhỉ?
Anh ơi, ở bên kia là ...  hoa gì?
Ơ hay tại sao chim được bay?
Tại sao cây màu xanh? .... Sao nhìn ai cũng vội vã vậy?

Đôi khi anh nghĩ ... bình yên thật xa xỉ
Có lẽ lúc đó bên cạnh ...  chưa là em 
Cho đến khi anh thấy ... đôi mắt đen lay láy
Thầm nhìn anh mỗi buổi sáng ... anh ngủ quên

Chưa ai bao giờ nói cho anh tình yêu là gì
Anh cứ ngỡ như ... những cơn sóng ầm ĩ
Nhưng thật ra em dịu êm như mặt hồ
Và tĩnh như màn đêm, đôi lúc anh thầm nghĩ

Liệu không phải em? 
Lòng tin là thứ anh không đặt cược
Nếu không phải em 
Bình yên là thứ anh không chạm được

Bởi vì cách em nhìn và cảm giác em hôn
Hơn tất cả những gì anh có thể định nghĩa
Anh cảm ơn nỗi đau đã cho em đến sau
Vì mọi điều anh tìm kiếm là đây",0,2025-06-05T15:39:11Z
@TungNguyen-ChadChampion,"Ngày 53 nghe bài hát ""bình yên"" trong 1 năm",0,2025-06-05T01:33:45Z
@EMLÊTHỊ-z4n6e,nhac qua do,0,2025-06-04T14:25:51Z
@kieuoanhnguyen2838,"Đã từng có bình yên, đã từng yêu nhau nhưng có lẽ chẳng thể đi tiếp. Sau này gặp lại mong cả 2 đều hạnh phúc",0,2025-06-04T09:58:16Z
@huongnguyen-om9fw,❤ Quá hay luôn !,0,2025-06-04T03:48:48Z
